#Total payments (2.5yrs)	Name	Specialty	Medicare prescriptions	Drug cost	Brand name?	Speaking payment	Most-prescribed medicare drugs
$2408760.79	<A HREF=https://projects.propublica.org/vital-signs/doctor/1295862639 >HARALD OTT </A>	Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	REMODULIN;TYVASO;ORENITRAM
$1330634.76	<A HREF=https://projects.propublica.org/vital-signs/doctor/1841265238 >NESLI BASGOZ </A>	Infectious Disease	<span style=color:black>1019 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$1160183.14	<A HREF=https://projects.propublica.org/vital-signs/doctor/1144210956 >ANDREW FREIBERG </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	DENOVO NT;CHONDROFIX
$1036569.15	<A HREF=https://projects.propublica.org/vital-signs/doctor/1376533794 >WILLIAM DENMAN </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	CLEVIPREX
$841226.44	<A HREF=https://projects.propublica.org/vital-signs/doctor/1609857663 >SAMUEL THIER </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OTHER
$678500	<A HREF=https://projects.propublica.org/vital-signs/doctor/1205819299 >JAYARAJ RAJAGOPAL </A>	Pulmonary Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	ORENITRAM;REMODULIN;TYVASO;OTHER
$674796.04	<A HREF=https://projects.propublica.org/vital-signs/doctor/1538159611 >W GERALD AUSTEN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$660610.05	<A HREF=https://projects.propublica.org/vital-signs/doctor/1316938962 >DENNIS AUSIELLO </A>	Nephrology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$550014.39	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699757062 >JAMES JANUZZI </A>	Cardiovascular Disease	<span style=color:black>1692 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	TRADJENTA;ENTRESTO;PRADAXA;OTHER;INVOKANA
$421751.62	<A HREF=https://projects.propublica.org/vital-signs/doctor/1366433179 >STEVEN DAWSON </A>	Vascular & Interventional Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$417150.43	<A HREF=https://projects.propublica.org/vital-signs/doctor/1316910532 >PETER MUELLER </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$416424.33	<A HREF=https://projects.propublica.org/vital-signs/doctor/1659345361 >MUKESH HARISINGHANI </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	KEYTRUDA
$398424.43	<A HREF=https://projects.propublica.org/vital-signs/doctor/1255322475 >LEE KAPLAN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	VICTOZA;QSYMIA;FERAHEME;CONTRAVE;SAXENDA
$346109	<A HREF=https://projects.propublica.org/vital-signs/doctor/1528035938 >ARATHI SETTY </A>	Rheumatology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OTHER;XELJANZ;AVASTIN
$309258.94	<A HREF=https://projects.propublica.org/vital-signs/doctor/1538159827 >HARRY RUBASH </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	EXPAREL
$236134.56	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962493478 >KEITH DREYER </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$228504.23	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962441956 >EDNAN BAJWA </A>	Pulmonary Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	TRADJENTA
$224600.06	<A HREF=https://projects.propublica.org/vital-signs/doctor/1780666131 >THOMAS LYNCH </A>	Medical Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	AVASTIN
$218862.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1154312056 >MALISSA WOOD </A>	Cardiovascular Disease	<span style=color:black>1012 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	TRADJENTA;CORLANOR
