#Total payments (2.5yrs)	Name	Specialty	Medicare prescriptions	Drug cost	Brand name?	Speaking payment	Most-prescribed medicare drugs
$351728.73	<A HREF=https://projects.propublica.org/vital-signs/doctor/1538255765 >DAVID KESSLER </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	PRECISE TYPE
$318064.16	<A HREF=https://projects.propublica.org/vital-signs/doctor/1184688434 >ERNEST RING </A>	Vascular & Interventional Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SAMSCA
$242633.45	<A HREF=https://projects.propublica.org/vital-signs/doctor/1437198082 >STEVEN HETTS </A>	Neuroradiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$228540.71	<A HREF=https://projects.propublica.org/vital-signs/doctor/1790732543 >FLAVIO VINCENTI </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	NULOJIX;ZORTRESS;SENSIPAR;SEVELAMER;OTHER
$157941.75	<A HREF=https://projects.propublica.org/vital-signs/doctor/1588779870 >HANI SBITANY </A>	Plastic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$106219.79	<A HREF=https://projects.propublica.org/vital-signs/doctor/1669420956 >TERESA DE MARCO </A>	Cardiovascular Disease	<span style=color:black>1628 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	LETAIRIS;OPSUMIT MACITENTAN;CORLANOR;XARELTO;SAMSCA
$82621.52	<A HREF=https://projects.propublica.org/vital-signs/doctor/1861433989 >ANTHONY PORTALE </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	RENVELA;FABRAZYME;SOLIRIS;SENSIPAR;H.P. ACTHAR
$67259.68	<A HREF=https://projects.propublica.org/vital-signs/doctor/1922029354 >MICHAEL ALVARADO </A>	Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	PERJETA;KADCYLA
$63950.64	<A HREF=https://projects.propublica.org/vital-signs/doctor/1235199340 >LIVIU KLEIN </A>	Cardiovascular Disease	<span style=color:black>2052 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	SAMSCA;VENTAVIS ILOPROST;OPSUMIT MACITENTAN;VELETRI EPOPROSTENOL;REPATHA
$61357.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1174794309 >RAHUL AGGARWAL </A>	Internal Medicine	<span style=color:black>355 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ZYTIGA;KEYTRUDA;IMBRUVICA
$51466.16	<A HREF=https://projects.propublica.org/vital-signs/doctor/1093040123 >THOMAS HOPE </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$42706.33	<A HREF=https://projects.propublica.org/vital-signs/doctor/1770790651 >JONATHAN DUKES </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	XARELTO;CORLANOR;REPATHA;ELIQUIS;PRADAXA
$41864.42	<A HREF=https://projects.propublica.org/vital-signs/doctor/1235187634 >SANJAY KAKAR </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$37829.81	<A HREF=https://projects.propublica.org/vital-signs/doctor/1275585788 >NELSON SCHILLER </A>	Cardiovascular Disease	<span style=color:black>1083 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	ELIQUIS;VYTORIN;ZETIA;REPATHA;XARELTO
$36929.49	<A HREF=https://projects.propublica.org/vital-signs/doctor/1215134267 >TERENCE FRIEDLANDER </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	XTANDI;JEVTANA;SUTENT;PROVENGE;XOFIGO
